,Tweet,Sarcasm (yes/no)
3089,my new phone have always been great.,no
3090,Had a great time with the conference.,no
3091,"Had a musicians, best experience ever. Not.",yes
3092,"Had a athletes, best experience ever. Not.",yes
3093,"Had a doctors, best experience ever. Not.",yes
3094,"Oh great, another vegetarians. Just what I needed.",yes
3095,"the conference are so wonderful, said no one ever.",yes
3096,the concert are genuinely amazing.,no
3097,"Everyone loves writers, right?",yes
3098,I just love when the conference happens.,yes
3099,Nothing better than a this book moment.,yes
3100,Had a great time with this book.,no
3101,Had a great time with the workshop.,no
3102,Nothing better than a the meal moment.,yes
3103,Can't wait for more of writers.,yes
3104,scientists are truly inspiring.,no
3105,I am always excited for doctors.,no
3106,Nothing better than a the meal moment.,yes
3107,Can't wait for more of vegetarians.,yes
3108,the game are truly inspiring.,no
3109,I genuinely love this movie.,no
3110,Because my new phone really make everything better.,yes
3111,I am always excited for scientists.,no
3112,Had a great time with scientists.,no
3113,I genuinely love artists.,no
3114,"the workshop are so wonderful, said no one ever.",yes
3115,artists are truly inspiring.,no
3116,athletes have always been great.,no
3117,I am always excited for engineers.,no
3118,Can't wait for more of artists.,yes
3119,Can't wait for more of artists.,yes
3120,vegetarians are truly inspiring.,no
3121,Because my new phone really make everything better.,yes
3122,I genuinely love the meal.,no
3123,"scientists are so wonderful, said no one ever.",yes
3124,I genuinely love this movie.,no
3125,the concert are truly inspiring.,no
3126,Because the workshop really make everything better.,yes
3127,Because my new phone really make everything better.,yes
3128,"athletes are so wonderful, said no one ever.",yes
3129,Because artists really make everything better.,yes
3130,I just love when this movie happens.,yes
3131,Had a great time with artists.,no
3132,Can't wait for more of the concert.,yes
3133,Because this book really make everything better.,yes
3134,I genuinely love the concert.,no
3135,I am always excited for the concert.,no
3136,"this movie are so wonderful, said no one ever.",yes
3137,"this book are so wonderful, said no one ever.",yes
3138,engineers have always been great.,no
3139,Because scientists really make everything better.,yes
3140,"Had a the game, best experience ever. Not.",yes
3141,Can't wait for more of musicians.,yes
3142,Had a great time with the conference.,no
3143,vegetarians are truly inspiring.,no
3144,"Had a engineers, best experience ever. Not.",yes
3145,I am always excited for the game.,no
3146,Can't wait for more of writers.,yes
3147,"Had a the meal, best experience ever. Not.",yes
3148,I find my new phone to be wonderful.,no
3149,Because the workshop really make everything better.,yes
3150,I just love when my new phone happens.,yes
3151,"vegetarians are so wonderful, said no one ever.",yes
3152,musicians have always been great.,no
3153,the game have always been great.,no
3154,doctors have always been great.,no
3155,Because the concert really make everything better.,yes
3156,"Oh great, another doctors. Just what I needed.",yes
3157,I find the workshop to be wonderful.,no
3158,I genuinely love the concert.,no
3159,Had a great time with scientists.,no
3160,I just love when this book happens.,yes
3161,Because this book really make everything better.,yes
3162,"Oh great, another athletes. Just what I needed.",yes
3163,Nothing better than a artists moment.,yes
3164,"Oh great, another athletes. Just what I needed.",yes
3165,vegetarians have always been great.,no
3166,my new phone have always been great.,no
3167,"the game are so wonderful, said no one ever.",yes
3168,I just love when engineers happens.,yes
3169,"Everyone loves athletes, right?",yes
3170,"Had a the workshop, best experience ever. Not.",yes
3171,"artists are so wonderful, said no one ever.",yes
3172,I just love when my new phone happens.,yes
3173,I just love when doctors happens.,yes
3174,Had a great time with the conference.,no
3175,Can't wait for more of artists.,yes
3176,Can't wait for more of the concert.,no
3177,"writers are so wonderful, said no one ever.",yes
3178,I am always excited for the concert.,no
3179,"Everyone loves doctors, right?",yes
3180,I just love when doctors happens.,yes
3181,the workshop are genuinely amazing.,no
3182,"Oh great, another engineers. Just what I needed.",yes
3183,I genuinely love this movie.,no
3184,"Had a the game, best experience ever. Not.",yes
3185,I just love when athletes happens.,yes
3186,I just love when the game happens.,yes
3187,I am always excited for doctors.,no
3188,I am always excited for the workshop.,no
3189,I just love when doctors happens.,yes
3190,"Everyone loves the game, right?",yes
3191,I find this book to be wonderful.,no
3192,vegetarians are genuinely amazing.,no
3193,I just love when this movie happens.,yes
3194,"Had a scientists, best experience ever. Not.",yes
3195,"this movie are so wonderful, said no one ever.",yes
3196,I just love when my new phone happens.,yes
3197,Had a great time with doctors.,no
3198,I find the game to be wonderful.,no
3199,Had a great time with the concert.,no
3200,"Had a musicians, best experience ever. Not.",yes
3201,Had a great time with the conference.,no
3202,Can't wait for more of the conference.,no
3203,I find vegetarians to be wonderful.,no
3204,athletes are genuinely amazing.,no
3205,"engineers are so wonderful, said no one ever.",yes
3206,Nothing better than a scientists moment.,yes
3207,"Everyone loves the conference, right?",yes
3208,"Had a artists, best experience ever. Not.",yes
3209,I am always excited for the conference.,no
3210,I find my new phone to be wonderful.,no
3211,Because this book really make everything better.,yes
3212,"Everyone loves the game, right?",yes
3213,Had a great time with athletes.,no
3214,Because the game really make everything better.,yes
3215,"Had a the concert, best experience ever. Not.",yes
3216,"Had a this movie, best experience ever. Not.",yes
3217,I find the workshop to be wonderful.,no
3218,vegetarians are genuinely amazing.,no
3219,"Everyone loves scientists, right?",yes
3220,the conference are truly inspiring.,no
3221,I am always excited for doctors.,no
3222,doctors are truly inspiring.,no
3223,I genuinely love this movie.,no
3224,I find artists to be wonderful.,no
3225,the concert are genuinely amazing.,no
3226,I am always excited for the game.,no
3227,"my new phone are so wonderful, said no one ever.",yes
3228,Can't wait for more of this book.,no
3229,I find the concert to be wonderful.,no
3230,Can't wait for more of musicians.,yes
3231,the concert are truly inspiring.,no
3232,"writers are so wonderful, said no one ever.",yes
3233,this book are truly inspiring.,no
3234,writers are genuinely amazing.,no
3235,Nothing better than a doctors moment.,yes
3236,engineers are truly inspiring.,no
3237,"the meal are so wonderful, said no one ever.",yes
3238,doctors are truly inspiring.,no
3239,engineers are truly inspiring.,no
3240,"Oh great, another engineers. Just what I needed.",yes
3241,I am always excited for this book.,no
3242,I genuinely love scientists.,no
3243,Can't wait for more of this book.,yes
3244,Can't wait for more of writers.,no
3245,"the meal are so wonderful, said no one ever.",yes
3246,the concert are truly inspiring.,no
3247,Had a great time with musicians.,no
3248,Can't wait for more of doctors.,yes
3249,Nothing better than a athletes moment.,yes
3250,the workshop have always been great.,no
3251,scientists are truly inspiring.,no
3252,I just love when athletes happens.,yes
3253,"Oh great, another doctors. Just what I needed.",yes
3254,"artists are so wonderful, said no one ever.",yes
3255,"Everyone loves the meal, right?",yes
3256,I just love when the concert happens.,yes
3257,"athletes are so wonderful, said no one ever.",yes
3258,Had a great time with the concert.,no
3259,"Had a artists, best experience ever. Not.",yes
3260,"Oh great, another doctors. Just what I needed.",yes
3261,vegetarians have always been great.,no
3262,"Had a the workshop, best experience ever. Not.",yes
3263,Nothing better than a writers moment.,yes
3264,I genuinely love engineers.,no
3265,I genuinely love athletes.,no
3266,Because this movie really make everything better.,yes
3267,this movie are truly inspiring.,no
3268,Because this movie really make everything better.,yes
3269,I am always excited for the concert.,no
3270,Can't wait for more of scientists.,no
3271,engineers are genuinely amazing.,no
3272,Nothing better than a engineers moment.,yes
3273,I just love when vegetarians happens.,yes
3274,"Everyone loves artists, right?",yes
3275,"Everyone loves scientists, right?",yes
3276,I just love when doctors happens.,yes
3277,"the concert are so wonderful, said no one ever.",yes
3278,Can't wait for more of the conference.,yes
3279,I am always excited for my new phone.,no
3280,"Had a doctors, best experience ever. Not.",yes
3281,I genuinely love the workshop.,no
3282,Nothing better than a athletes moment.,yes
3283,Can't wait for more of the game.,no
3284,Nothing better than a engineers moment.,yes
3285,"the workshop are so wonderful, said no one ever.",yes
3286,Can't wait for more of doctors.,yes
3287,the concert are truly inspiring.,no
3288,I find the conference to be wonderful.,no
3289,athletes have always been great.,no
3290,this movie have always been great.,no
3291,I find the concert to be wonderful.,no
3292,I just love when this movie happens.,yes
3293,I am always excited for writers.,no
3294,Can't wait for more of musicians.,yes
3295,Nothing better than a the meal moment.,yes
3296,I am always excited for the game.,no
3297,Because the concert really make everything better.,yes
3298,artists are truly inspiring.,no
3299,Nothing better than a writers moment.,yes
3300,Because the conference really make everything better.,yes
3301,my new phone are genuinely amazing.,no
3302,"Had a the game, best experience ever. Not.",yes
3303,I genuinely love the conference.,no
3304,Nothing better than a the workshop moment.,yes
3305,"Had a the workshop, best experience ever. Not.",yes
3306,Had a great time with writers.,no
3307,Had a great time with the conference.,no
